episodes,score,discounted_score
58600,4.0180,0.5924
58700,4.2290,0.5881
58800,4.0870,0.5782
58900,4.4580,0.5635
59000,4.1560,0.5640
59100,4.0980,0.5871
59200,4.0180,0.5924
59300,4.1780,0.5819
59400,4.2690,0.5855
59500,4.3090,0.5829
59600,4.4070,0.5572
59700,4.3270,0.5624
59800,4.1780,0.5819
59900,4.3090,0.5829
60000,4.1960,0.5614
60100,4.2800,0.5944
60200,4.0360,0.5719
60300,4.1270,0.5756
60400,4.2980,0.5740
60500,4.1490,0.5934
60600,4.1270,0.5756
60700,4.0470,0.5808
60800,4.4800,0.5813
60900,4.2070,0.5703
61000,3.9960,0.5746
61100,4.0470,0.5808
61200,4.2580,0.5766
61300,3.9850,0.5656
61400,3.9780,0.5950
61500,4.1380,0.5845
61600,4.0980,0.5871
61700,4.0650,0.5604
61800,4.0180,0.5924
61900,4.1450,0.5551
62000,4.2180,0.5792
62100,4.4070,0.5572
62200,4.2290,0.5881
62300,4.0690,0.5987
62400,4.2180,0.5792
62500,4.2470,0.5677
62600,4.0250,0.5630
62700,4.0250,0.5630
62800,4.0470,0.5808
62900,4.1490,0.5934
63000,4.1670,0.5729
63100,4.1780,0.5819
63200,4.1090,0.5960
63300,4.2980,0.5740
63400,4.1380,0.5845
63500,4.1780,0.5819
63600,3.9050,0.5709
63700,4.0980,0.5871
63800,3.9890,0.6039
63900,4.0470,0.5808
64000,3.9780,0.5950
64100,4.0360,0.5719
64200,4.0070,0.5835
64300,4.2070,0.5703
64400,4.1380,0.5845
64500,3.8470,0.5940
64600,3.7490,0.6197
64700,3.9740,0.5567
64800,4.2400,0.5970
64900,4.4580,0.5635
65000,4.3490,0.5802
65100,3.8980,0.6003
65200,3.9380,0.5976
65300,4.1890,0.5908
65400,3.7740,0.5699
65500,4.1270,0.5756
65600,4.1090,0.5960
65700,4.2580,0.5766
65800,3.9270,0.5887
65900,3.9340,0.5594
66000,4.0070,0.5835
66100,3.9780,0.5950
66200,3.9850,0.5656
66300,4.4690,0.5724
66400,4.2690,0.5855
66500,4.1270,0.5756
66600,4.2690,0.5855
66700,4.4290,0.5750
66800,4.2180,0.5792
66900,4.1560,0.5640
67000,4.1780,0.5819
67100,4.1380,0.5845
67200,3.9340,0.5594
67300,4.1490,0.5934
67400,4.2980,0.5740
67500,4.0580,0.5897
67600,3.5960,0.6008
67700,4.1670,0.5729
67800,3.8980,0.6003
67900,4.0580,0.5897
68000,3.9450,0.5683
68100,3.7270,0.6019
68200,3.8980,0.6003
68300,3.8870,0.5913
68400,3.7380,0.6108
68500,3.7380,0.6108
68600,3.8250,0.5762
68700,3.8360,0.5851
68800,3.6540,0.5778
68900,4.0580,0.5897
